name,id,dlc,featureflag,icon,slot,elite,charge,chargeEffect,cooldown,duration,shots,group,stars,experience,requiresUnitType,unlockCost,executeCost,trigger,traits,order type,target,target restrictions,radius,effect,effect2,effect3,effect4,effect5,followup
Rainmaker_Shrapnel,3416,metro,,83,,42,,,30,infinite,8,default,3,/,Missile_Mech_Deployed,100,,,unlockable,fire,area,,,weapon = Cloudburster_Shrapnel,,,,,
Rainmaker_Drones,3417,metro,,82,,34,,,/,0,,/,3,/,,100,,OnUnlock,unlockable,no order,none,,,switch = Missile_Mech_Droner,,,,,
Rainmaker_Drones_Deployed,3419,metro,,82,,34,,,/,0,,/,3,/,,,,OnUnlock,unlockable,no order,none,,,switch = Missile_Mech_Droner_Deployed,,,,,
Rainmaker_Drones_Active,3418,metro,,82,,34,,,/,0,,/,3,/,,,,,hidden,no order,none,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// DRAW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drawbridge_Open,3466,metro,,/,,,2 nocancel,,/,0,,,,,,,,,hidden,no order,none,,,switch = default,,,,,
Drawbridge_Close,3467,metro,,/,,,2 nocancel,,/,0,,,,,,,,,hidden,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravager_Melee_Spawn,3470,metro,,/,,,,,,,,,,,,,,OnSwitch,hidden,no order abilitystate,none,,,hitpoints = set 100%,animation = (),,,,
Verhaegen_Burst,3471,metro,,/,,,,,/,infinite,4,default,3,/,,,,,,fire,unit,unit: (alliance: enemy),,weapon = Verhaegen_Burst,,,,,
Kayla_Death,3472,metro,,/,,,4,,/,0,,default,/,/,,,,OnSwitch,,action,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// WATER PLANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water_Plane_Rise,3454,metro,,/,,,30 nocancel,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Water_Plane_Lower,3455,metro,,/,,,30 nocancel,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Territory_Point_Pylon,3458,metro,,102,,,15,,/,0,,default,/,/,,,,,,no order,none,,,switch = Territory_Point_Security,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M4 GRINDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hover_HMG_Hover,4008,base,,96,,,1.4 nocancel,,30,0,,default,/,/,,,,,,no order,none,,,switch = default,,,,,
Hover_HMG_Descend,4009,base,,97,,,2.6 nocancel,,30,0,,default,/,/,,,,,,no order,none,,,switch = default,,,,,
Hover_HMG_Elite_A,208,base,,99,,49,,,30,infinite,1,default,3,/,Hover_HMG,50,,,unlockable,fire,area,,5,weapon = Hover_HMG_Indirect_Burst,,,,,
Hover_HMG_Elite_B,209,base,,98,,48,1.4 nocancel,,30,0,,default,3,/,Hover_HMG,50,,,unlockable,no order,none,,,switch = default,spawn = Hover_HMG_Hellraiser_Fire,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MECH MORTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mech_Mortar_Deploy,4034,base,,94,,,2 nocancel,,5,0,,default,/,/,,,,,,action,area,range: 55; rangeMin: 30,20,switch = default,guardarea = store,,,,
Mech_Mortar_Undeploy,4035,base,,95,,,5 nocancel,,5,0,,default,/,/,,,,,,action,none,,,switch = default,guardarea = disable,,,,
Mech_Mortar_Firewall,4027,base,,86,,11,,,30,infinite,1,default,3,/,Mech_Mortar,80,,,unlockable,fire,area,,weapon: burst,weapon = Mech_Mortar_Firewall_Burst,,,,,
Mech_Mortar_Turret_Pod,4028,base,,66,,37,,,30,infinite,1,default,3,/,Mech_Mortar,80,,,unlockable,fire,area,,,weapon = Mech_Mortar_Turret_Pod,,,,,
Mech_Mortar_GuardArea,4036,base,,/,,,,,,,,,,,,,,OnSwitch,hidden,no order abilitystate,none,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MECH CANNON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mech_AT_Proximity_Defense,205,base,,85,,,,,30,infinite,2,default,/,/,,,,,,fire,area,,weapon: burst,weapon = Mech_Cannon_Proximity_Burst 1,,,,,
Mech_AT_Elite_A,206,base,,4,,8,,,30,infinite,1,default,3,/,,80,,,unlockable,fire,area,,,weapon = Mech_AT_Flak 1,,,,,
Mech_AT_Elite_B,207,base,,90,,43,,,30,0,/,default,3,/,,80,,,unlockable,no order,none,,,spawn = Mech_AT_Drone_Kamikaze,,,,,
//Mech_AT_Elite_B,207,base,,19,,,,,30,infinite,1,default,3,/,,80,,,unlockable,fire,area,,,weapon = Mech_AT_Drone_Kamikaze,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// EXOSUIT E-PULSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exosuit_Bastion_Deploy,211,base,,112,,,1.4 nocancel,,/,infinite,,/,/,/,,,,,,abilitystate,area,range: 0; tile: (requireFlat; notBlocked; radius: 4),,deploybastion = switchType: exosuit_e-troopers_deployed; bastionType: exosuit_fortification; switchBackAbility: Exosuit_Bastion_Undeploy,,,,,
Exosuit_Bastion_Undeploy,212,base,,113,,,1.4 nocancel,,/,0,,/,/,/,,,,,,no order,none,,,switch = default,,,,,
Exosuit_Electrocute,210,base,,114,,46,,,30,infinite,5,default,3,/,,80,,,unlockable,fire,none,,,weapon = Exosuit_Electroshock,,,,,
Exosuit_Battery_Overload,213,base,,24,,21,,,30,10,,default,3,/,,80,,,unlockable,no order,none,,,changeweapon = E-Pulse_44_Boosted 0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
territory_tactical_reinforce,2010,base,,27,,,,,30,0,,default,/,400,,,,,,action,area,range: 14; walkRange: 28; tile: (notBlocked; requireFlat; noLandingPads; reachable; requireTileCenter),6,createdropsite = (),,,,,
materiel_building_switch,2011,base,,103,,,15,,/,0,,default,/,/,,,,,,no order,none,,,switch = Territory_Materiel_Depot,,,,,
supply_building_switch,2012,base,,102,,,15,,/,0,,default,/,/,,,,,,no order,none,,,switch = Territory_Supply_Platform,,,,,
turret_mg_upgrade_A,2013,base,,123,,,15,,/,0,,default,/,/,,,50,,,no order,none,,,switch = Electro_MG_A,,,,,
turret_mg_upgrade_B,2014,base,,120,,,15,,/,0,,default,/,/,,,50,,,no order,none,,,switch = Electro_MG_B,,,,,
turret_mortar_upgrade_A,2015,base,,19,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Electro_Mortar_AA_On,,,,,
turret_mortar_upgrade_B,2016,base,,124,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Electro_Mortar_B,,,,,
turret_sniper_upgrade_A,2017,base,,123,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Electro_Sniper_A,,,,,
turret_sniper_upgrade_B,2018,base,,125,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Electro_Sniper_B,,,,,
turret_cannon_upgrade_A,2019,base,,121,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Electro_Cannon_A,,,,,
turret_cannon_upgrade_B,2020,base,,126,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Electro_Cannon_B,,,,,
turret_missile_upgrade_A,2021,base,,121,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Electro_Missile_A,,,,,
turret_missile_upgrade_B,2022,base,,127,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Electro_Missile_B,,,,,
turret_flamer_upgrade_A,2024,lava,,123,,,15,,/,0,,default,/,/,,,50,,,no order,none,,,switch = Electro_Flamer_A,,,,,
turret_flamer_upgrade_B,2030,lava,,120,,,15,,/,0,,default,/,/,,,50,,,no order,none,,,switch = Electro_Flamer_B,,,,,
turret_hmg_tower_upgrade_A,2031,base,,122,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Territory_MG_Tower_A,,,,,
turret_hmg_tower_upgrade_B,2032,base,,125,,,15,,/,0,,default,/,/,,,100,,,no order,none,,,switch = Territory_MG_Tower_B,,,,,
Rifle_Recruit_Upgrade,2023,base,,93,,,,,/,0,,/,3,/,,30,,OnUnlock,unlockable,no order,none,,,switch = Rifle_Squad,reseteliteabilities = resetExperience: 2,,,,
Electro_Mortar_AA_Enable,2035,base,,80,,,10 nocancel,,/,0,,default,/,/,,,,,chargeResetTurret,no order,none,,,switch = default,,,,,
Electro_Mortar_AA_Disable,2036,base,,81,,,10 nocancel,,/,0,,default,/,/,,,,,,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
territory_enable_generator,2033,base,,150,,,,,,0,,,,,,,,,,no order,none,,,switch = default,,,,,
territory_activate,2037,base,,150,,,,,,0,,,,,,,,,,no order,none,,,switch = default,,,,,
territory_enable_prospector,2034,base,,150,,,,,,0,,,,,,,,,,no order,none,,,switch = default,,,,,
territory_enable_lavapump,2044,base,,150,,,,,,0,,,,,,,,,,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// CHEMICAL DLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ARACHNOLOGISTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Explode_Defenders,5094,chem,,128,,,,,20,0,,default,/,,,,,,mirrorOnSelected,no order,none,,,explosiondefenders = Defender_Destruct_Explosion,,,,,
SwitchDefender_Spitters,5091,chem,,129,,68,,,/,0,,/,3,,,30,,OnUnlock,unlockable; hiddenIfUnlocked,no order,none,,,switchsquaddefender = spawn: (type: drugged_spitter_bugs; interval: 10; amount: 3; transport: drop_pod_small); followRange: 10; returner: (maxRange: 15; minRange: 12); onSwitch: kill; dieWithLeader: (); highlight: (),,,,,
SwitchDefender_Warriors,5092,chem,,130,,69,,,/,0,,/,3,,,30,,OnUnlock,unlockable; hiddenIfUnlocked,no order,none,,,switchsquaddefender = spawn: (type: drugged_warriors; interval: 10; amount: 2; transport: Drop_Pod_Medium); followRange: 10; returner: (maxRange: 15; minRange: 12); onSwitch: kill; dieWithLeader: (); highlight: (),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// TOXIC BIPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toxic_Self_Repair,5108,chem,,141,,,,,40,10,/,default,/,,,,,,,action,none,,,spawn_trail = firetype: toxic_repair_cloud; spawninterval: 0.5; duration: 10; mindistance: 0; sound: Mech_Fire_Trail,changeweapon = (),stat = heal 20,stat = speed 50%,,
Toxic_Pressure_Spray,5063,chem,,142,,67,,,30,infinite,1,default,3,/,,30,,,unlockable,fire,area,,,weapon = Toxic_Pressure_Spray,,,,,
Acid_Air_Strike,5057,chem,,143,,66,,,30,0,,default,3,/,,30,,,unlockable,action,direction,range: 30,8,timeline = gas_strike,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// RADIATION BIPED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rad_Biped_Electric_Discharge,5064,chem,,144,,,,,30,/,1,default,/,/,,,,,,fire,none,,,weapon = Electric_Discharge,,,,,
Rad_Biped_Deploy_Drone,5100,chem,,146,,73,,,/,0,,/,3,/,,30,,OnUnlock,unlockable,no order,none,,,switch = Radiation_Biped_Host,,,,,
Rad_Biped_Reactor_Drop,5080,chem,,145,,72,,,30,0,,default,3,/,,30,,,unlockable,fire,area,,2,timeline = reactor_single_strike ,,,,,
Rad_Biped_Reactor_Effect,5084,chem,,/,,,,,30,30,,default,,/,,,,OnSpawn,hidden,no order,none,,10,stat_aoe = attack 120%; range 120%; affects: friendly; filter: radiation_biped,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// HAZMAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazmat_Grenade_Volley,5074,chem,,131,,,,,30,infinite,5,default,/,/,,,,,,fire,area,,2,weapon = Hazmat_Grenade_Volley,,,,,
Hazmat_Gas_Perimeter,5088,chem,,133,,65,,,/,infinite,,/,3,/,,50,,,unlockable,abilitystate,area,range: 0; tile: (requireFlat; notBlocked; radius: 4),,deploybastion = switchType:Hazmat_Eradicators_Deployed_Gas; bastionType: Gas_Perimeter; switchBackAbility: Undeploy_Perimeter,,,,,
Hazmat_Heal_Perimeter,5099,chem,,132,,64,,,/,infinite,,/,3,/,,50,,,unlockable,abilitystate,area,range: 0; tile: (requireFlat; notBlocked; radius: 4),,deploybastion = switchType:Hazmat_Eradicators_Deployed_Heal; bastionType: Healing_Perimeter; switchBackAbility: Undeploy_Perimeter,,,,,
Heal_Perimeter,5081,chem,,/,,/,,,/,infinite,,/,/,/,,,,OnSpawn,,no order,none,,10,stat_aoe = heal 100%; affects: friendly; filter: human,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MISSILE SPECIALIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile_Specialist_Switch_A,5112,chem,,135,,,,,,/,,/,,,,,,,,no order,none,,,switch = default,,,,,
Missile_Specialist_Switch_B,5123,chem,,134,,,,,,/,,/,,,,,,,,no order,none,,,switch = default,,,,,
Flak_Missiles,5115,chem,,136,,8,,,30,infinite,10,default,3,/,,50,,,unlockable,fire,area,,,weapon = Specialist_Flak_Barrage,,,,,
Incendiary_Missiles,5116,chem,,137,,11,,,30,infinite,1,default,3,/,,50,,,unlockable,fire,area,,weapon: burst,weapon = Specialist_Incendiary_Barrage 0,,,,,
Silo_Remote_Nuke,5103,chem,,138,afterunlockelite,,,,,0,,/,,,,,,,,no order,area,range: 50; requiremaxrange,4,proxyability = (range: 10000; unittype: Territory_Missile_Silo; ability: Silo_Missile_Nuke),,,,,
Silo_Remote_Chemical,5104,chem,,140,afterunlockelite,,,,,0,,/,,,,,,,,no order,area,range: 50; requiremaxrange,4,proxyability = (range: 10000; unittype: Territory_Missile_Silo; ability: Silo_Missile_Chemical),,,,,
Silo_Remote_Cluster,5113,chem,,139,afterunlockelite,,,,,0,,/,,,,,,,,no order,area,range: 50; requiremaxrange,4,proxyability = (range: 10000; unittype: Territory_Missile_Silo; ability: Silo_Missile_Cluster),,,,,
Silo_Missile_Nuke,5002,chem,,/,,,,,40,infinite,1,silo,/,/,,,,,hidden,fire,area,,,weapon = Silo_Missile_Nuke 0,destinationMarker = type: MissileNuke; radius: effectRadius,,,,
Silo_Missile_Chemical,5027,chem,,/,,,,,40,infinite,1,silo,/,/,,,,,hidden,fire,area,,10,weapon = Silo_Missile_Chemical 0,destinationMarker = type: MissileChemical; radius: effectRadius,,,,
Silo_Missile_Cluster,5114,chem,,/,,,,,40,infinite,1,silo,/,/,,,,,hidden,fire,area,,20,weapon = Silo_Missile_Cluster 1,destinationMarker = type: MissileCluster; radius: effectRadius,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// FORTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deploy_Bastion_Railgun,5067,chem,,147,,,,,/,infinite,,/,/,/,,,,,,abilitystate,area,range: 0; tile: (requireFlat; notBlocked; radius: 4),,deploybastion = switchType:  default; bastionType: Bastion_Railgun; switchBackAbility: Undeploy_Perimeter,,,,,
Fortis_Construction_Kit,5106,chem,,148,,20,,,,0,,/,3,,,80,,OnUnlock,unlockable; hiddenIfUnlocked,no order,none,,,switch = Fortis_Eradicators_Constructors,,,,,
SwitchDefender_Tigers,5093,chem,,149,,74,,,,,,/,3,,,80,,OnUnlock,unlockable; hiddenIfUnlocked,no order,none,,,switchsquaddefender = spawn: (type: drugged_tiger_bugs; interval: 10; amount: 2); followRange: 10; returner: (maxRange: 30; minRange: 10); onSwitch: kill; dieWithLeader: (); highlight: (),,,,,
Undeploy_Perimeter,5097,chem,,113,,,1.4 nocancel,,/,0,,/,/,/,,,,,,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M9C MANIPULATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9C_Mind_Control,5056,chem,,152,,,,,60,/,1,default,,,,,,,,fire,unit,range: 30; unit: (alliance: enemy; filter:(attribute:mindControllable)),1,weapon = M9C_Mind_Control_Shot 1,,,,,
SwitchDefender_RoyalGuard,5086,chem,,153,,75,,,,,,/,3,,,80,,OnUnlock,unlockable; hiddenIfUnlocked,no order,none,,,switchsquaddefender = spawn: (type: drugged_royal_guard; interval: 15; amount: 2; transport: Drop_Pod_Large); followRange: 10; returner: (maxRange: 30; minRange: 10); onSwitch: kill; dieWithLeader: (); highlight: (),,,,,
Drop_Drones_Pod,5025,chem,,154,,76,,,60,0,/,default,3,/,,80,,,unlockable,action,area,range: 50,2,deploy = Drones_Pod,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// POWER SUIT INSTIGATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogue_Grenade,5078,chem,,156,,,,,40,infinite,1,default,,,,,,,,fire,area,,,weapon = Rogue_Grenade,,,,,
Deploy_Ufo,5110,chem,,157,,78,,,40,0,/,default,3,/,,100,,,unlockable,no order,none,,,spawn = Controllable_Rad_Drone,,,,,
Pheromone_Shield,5107,chem,,155,,77,2,,40,infinite,,,,,Powersuit_Eradicators,100,,,unlockable,action,none,,,switch = default,,,,,
Pheromone_Shield_Depleted,5001,chem,,/,,,,,/,infinite,,default,/,/,,,,,hidden,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M11 EXTERMINATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11_X_Default_Missile,5059,chem,,160,,,,,40,/,1,default,/,/,,,,,,fire,area,,weapon: burst,weapon = XM11_Missile 1,,,,,
M11_X_Booster,5102,chem,,/,,,,,/,infinite,,/,,/,,,,,hidden,no order,none,,20,stat_aoe = attack 120%; range 120%; affects: friendly; filter: (attribute:xm11Boostable),,,,,
M11_X_Jump_Unlock,5105,chem,,161,,70,,,,,,/,3,,,100,,OnUnlock,unlockable; hiddenIfUnlocked,no order,none,,,switch = M11_Exterminator_Jump,,,,,
M11_X_Jump,5101,chem,,161,,70,,,40,infinite,/,default,/,/,,,,,,abilitystate,area,range: 30; tile: (maxRange; requireMaxRange; maxHeightDifference; requirePlayable; notBlocked; autoadjustwall; viewGridBorder: 2),,jump = effectTimeline: Marksman; takeOff: XM11_JumpStart; fly: XM11_JumpFly; Dust: Jet_Dust,,,,,
Radiation_Bomb,5098,chem,,162,,71,,,40,/,1,default,3,/,,100,,,unlockable,fire,area,range: 30,,timeline = radiation_single_strike,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ARACHNID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanker_Roar,92,base,,184,,,,,20,infinite,1,/,/,/,,,,,hideWiki,fire,none,,,weapon = Tanker_Roar,,,,,
Grenadier_Cluster_Plasma,5118,base,,187,,,,,30,infinite,1,/,/,/,,,,,hideWiki,fire,area,,15,weapon = Grenadier_Cluster_Shot,,,,,
Scorpion_Claw_Crush,5119,base,,185,,,,,30,infinite,1,/,/,/,,,,,hideWiki,fire,unit,unit: (alliance: enemy),,changeweapon = Scorpion_Claw_Crush_Shot,,,,,
Ravager_Bash,5120,metro,,189,,,,,30,infinite,1,/,/,/,,,,,hideWiki,fire,unit,unit: (alliance: enemy),,changeweapon = Ravager_Bash_Shot,,,,,
Immolator_Spew,5121,lava,,188,,,,,30,infinite,1,/,/,/,,,,,hideWiki,fire,area,,,changeweapon = Immolator_Spew_Shot,,,,,
Buzzer_Grenadier_Trail,5117,chem,,186,,,,,40,7,,/,/,/,,,,,hideWiki,no order,none,,,spawn_trail = firetype: buzzer_grenadier_acid_trail; spawninterval: 0.5; duration: 7; mindistance: 1; sound: Stingers_Acid_Spit,stat = speed 150%,,,,
Hydra_Shockwave,5132,chem,,190,,,,,30,infinite,1,/,/,/,,,,,hideWiki,fire,none,,,weapon = Hydra_Shockwave_Shot,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// SPECIAL UNITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container_Fall,5012,wip,UnitPrototyping,,,,,,,3,,,,,,,,OnHealth(-50),,no order abilitystate,none,,,animation = (),hitpoints = set 100%,,,,Container_Fire
Container_Fire,5013,wip,UnitPrototyping,,,,,,,,1,,,,,,,,,fire,none,,,weapon = Container_Impact,,,,,Container_Switch
Container_Switch,5014,wip,UnitPrototyping,,,,,,,,,,,,,,,,,no order,none,,,switch = Container_Down,,,,,
Bug_Cage_Fall,5015,wip,UnitPrototyping,,,,,,,3,,,,,,,,OnHealth(-50),,no order abilitystate,none,,,animation = () ,hitpoints = set 100%,,,,Bug_Fire
Bug_Fire,5016,wip,UnitPrototyping,,,,,,,,1,,,,,,,,,fire,none,,,weapon = Bug_Cage_Impact,,,,,Bug_Cage_Switch
Bug_Cage_Switch,5017,wip,UnitPrototyping,,,,,,,,,,,,,,,,,no order,none,,,switch  = Warrior_Bugs,,,,,
Dart_Launcher_Fire,5129,chem,,147,,,,,10,/,1,,,,,,,,hidden,fire,unit,unit: (alliance: enemy),,weapon = Dart_Launcher_Shot,,,,,
Pheromone_Emitter_Activate,5130,base,,150,,,5,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
Pheromone_Emitter_Deactivate,5131,base,,150,,,5,,/,0,,,,,,,,,,no order,none,,,switch = default,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// JUNGLE DLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxhole_Boost,4002,jungle,,18,,,,,3,infinite,,default,/,/,,,,Always,,no order,none,,3,stat_aoe = (timeBetweenAttacks 70%) ; armor 50 ; range 80% ; filter: (class:infantry),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// JUNGLE TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jungle_Gunship_Marker_Deploy,4001,jungle,,28,,,,,30,infinite,1,default,/,/,,,,,,fire,area,,6,weapon = Jungle_Gunship_Marker_Flare 0,,,,,
Jungle_HMG_Deploy,4017,jungle,,168,,24,,,30,0,,default,/,/,,,,,,action,area,range: 5,,spawn = Jungle_HMG,,,,,
Jungle_Mortar_Deploy,4018,jungle,,169,,24,,,30,0,,default,3,/,,30,,,unlockable,action,area,range: 5,,spawn = Jungle_Mortar,,,,,
Infiltrator_Flare,4016,jungle,,170,,24,,,30,infinite,1,default,3,/,,30,,,unlockable,fire,area,,30,weapon = Infiltrator_Flare 0,,,,,
Base_Remote_Artillery,4049,jungle,,67,afterunlockelite,,,,30,0,,default,,,,,,,,action,area,range: 30,4,proxyability = (range: 10000; unittype: Territory_Base_Artillery; ability: Territory_Base_Artillery_Strike),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// AIR SUPPORT OPERATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphorus_Strike,4000,jungle,,171,,,,,30,0,,default,/,300,,,,,,action,direction,range: 50,8,timeline = Phosphorus_Strike,,,,,
Perimeter_Turrets_Drop,4015,jungle,,172,,24,,,30,0,,default,3,/,,30,,,unlockable,action,direction,range: 50,8,timeline = Turrets_Drop,,,,,
Thermite_Drone_Spawn,4007,jungle,,173,,27,,,30,0,/,default,3,/,,30,,,unlockable,action,area,range: 10,,spawn = Thermite_Drone,,,,,
Thermite_Drone_Fire,4006,jungle,,/,,,,,30,7,,/,/,/,,,,OnSpawn,hidden,no order,none,,,spawn_trail = firetype: Phosphorus_Cloud; spawninterval: 0.5; duration: 7; mindistance: 1; sound: Mech_Fire_Trail,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// GRENADE TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flare_Grenade,4020,jungle,,10,,5,,,30,infinite,1,default,/,/,,,,,,fire,area,,,weapon = Flare_Grenade_Throw 0,,,,,
Jungle_Grenade_Barrage,4022,jungle,,3,,5,,,30,infinite,10,default,3,/,,50,,,unlockable,fire,area,,,weapon = Jungle_Grenade_Volley,,,,,
Grenade_Drone_Launch,4026,jungle,,76,,5,,,30,infinite,1,default,3,/,,50,,,unlockable,fire,unit,unit: (alliance: enemy; filter:(categoryExclude: air)),,weapon = Grenade_Drone_Homing,,,,,
Grenade_Drone_Active,4025,jungle,,76,,5,,,/,0,,/,/,/,,,,,hidden,no order,none,,,,,,,,
Grenade_Drone_Spawn,4023,jungle,,36,,,,,30,0,,default,/,/,,,,,,action,none,,,spawn = Drone_Jungle_Grenade,,,,,
Grenade_Drone_Deploy,4024,jungle,,76,,34,,,/,0,,/,3,/,,50,,OnUnlock,unlockable,no order,none,,,switch = Grenade_Troopers_Drone,,,,,
Jungle_Grenade_Drops,4019,jungle,,/,,,,,30,7,,default,/,/,,,,,,action,area,,,spawn_trail = firetype: Jungle_Grenade_Bag; spawninterval: 1; duration: 4; mindistance: 0; sound: Grenade_Timer,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// SAWMASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saw_Blade_Eject,4003,jungle,,78,,5,,,30,infinite,1,default,3,/,Mech_Saw,30,,,unlockable,fire,area,,,weapon = Saw_Blade 0,,,,,
Sawmaster_Uparmor,4004,jungle,,79,,20,,,/,0,,/,3,/,,30,,OnUnlock,unlockable,no order,none,,,switch = Mech_Saw_Armored,,,,,
Sawmaster_Uparmor_Active,4005,jungle,,79,,20,,,/,0,,/,3,/,,,,,hidden,no order,none,,,,,,,,
Saw_Blade_HealthSwitch,4010,jungle,,/,,,,,,0,,,,,,,,,hidden,no order,none,,,switch = default,,,,,
SawMaster_Spin,4013,jungle,,77,,,,,40,5,,default,,/,,,,,,fire,none,,,weapon = SawMaster_Spin_Shot,,,,,
SawMaster_Bushtrimmers,4061,jungle,,174,,68,,,/,0,,/,3,,,30,,OnUnlock,unlockable; hiddenIfUnlocked,no order,none,,,switchsquaddefender = spawn: (type: SawMaster_Drone; interval: 10; amount: 2); followRange: 10; returner: (maxRange: 15; minRange: 12); onSwitch: kill; dieWithLeader: (); highlight: (),,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M4 THUMPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hover_Mortar_ATGM,4045,jungle,,71,,,,,40,infinite,1,default,/,/,,,,,,fire,unit,unit: (alliance: enemy),,weapon = Hover_Mortar_ATGM 1,,,,,
Hover_Mortar_Napalm,4053,jungle,,166,,29,,,40,infinite,1,default,3,/,,,,,unlockable,fire,area,,,weapon = Hover_Mortar_Napalm_Shot,,,,,
Napalm_Dispenser_Shot,4056,jungle,,/,,,,,/,30,,/,/,/,,,,OnSpawn,hidden,no order,none,,,spawn_trail = firetype: Napalm_Pool; spawninterval: 0.5; duration: 30; mindistance: 1; sound: Mech_Fire_Trail,stat = speed 150%,,,,
Hover_Mortar_Flare,4054,jungle,,165,,29,,,40,infinite,1,default,3,/,,,,,unlockable,fire,area,,,weapon = Hover_Mortar_Flare_Shot,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// MECH ONTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
