name,dlc,featureflag,model,projectile,air projectile,spawn,scale,width,sound,offset,charge effect,fire effect,fire effect AA,ignition effect,target hit,soft hit,hard hit,water hit,// target armor,// damage,// DPS,attack,anti armor,anti granite,anti air,shock,blast,timer,burst,delay,range,extended,min range,accuracy,speed,initialSpeed,timeUntilFullSpeed,charge,cooldown,timeBetweenAttacks,shake,fire strategy,targeting,cone,homing,invalid,valid,damageType,traits,pinning strategy,overheat,onSoldierHit,poison,allianceSwitch,mindControl,timelineShot,burstOffsets,notification
Mech_AT_Drone_Kamikaze,base,,/,Mech_AT_Drone_Kamikaze,,,1,/,Grenade_Troopers_Drone_Launch,,,Laser_Pointer_Red,,,,Mech_AT_Drone_Strike,,Water_Splash_Tiny,,150,#REF!,150,80,10,,20,4,,/,/,12,,/,,14,,,/,/,0.5,10,,,,200,solid; extinguishable,armored,,onFireRemoveSoldier; noBlastReduction,,,onHit: None,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// POWER TROOPERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS_Light_AR,base,,PS_Light_AR,Tracer,Tracer,,1,,burstStart: Morita_PowerMk1,,,Muzzle_Flash_3,,,,Bullet_Impact_Dust,,Water_Splash_Tiny,,6,#REF!,10,40,,5,10,,,4,0.2,30,10,,max: 5,80,,,0.2,0.2,1.3,/,,,,,solid; extinguishable,,,spreadFire,,,,,,,,,
PS_Light_AR_Hover,base,,PS_Light_AR,Tracer,Tracer,,1,,burstStart: Morita_PowerMk1,,,Muzzle_Flash_3,,,,Bullet_Impact_Dust,,Water_Splash_Tiny,,2.88,#REF!,8,28,,5,10,,,4,0.2,30,10,,max: 20,80,,,0.2,0.2,1.3,/,,,,,solid; extinguishable,,,spreadFire;unaimed,,,,,,,,,
PS_Heavy_AR,base,,/,Tracer,Tracer,,1.5,,burstStart: Morita_MkII,,,Muzzle_Flash_4,,,,Bullet_Impact_Dust,,Water_Splash_Tiny,,14,#REF!,14,60,,4,10,,,5,0.3,40,10,,max: 5,100,,,0.2,0.4,2.3,/,,,,,solid; extinguishable,,,spreadFire,,,,,,,,,
PS_Missile_Launcher,base,,/,Power_Rocket,,,1,,Missile,,,,,,Fireball,Fireball,,Water_Splash_Large,,,,100,100,10,,/,2,,/,/,35,,10,,60,,,,/,15,30,,,,,solid; extinguishable,,,indirectFire;spreadFire,,,,,,,,,
PS_AR_Welder,base,,/,Tracer,Tracer,,1,,burstStart: Morita_PowerMk1,,,Muzzle_Flash_3,,,,Bullet_Impact_Dust,,Water_Splash_Tiny,,4,#REF!,10,30,,5,10,,,4,0.2,30,10,,max: 5,80,,,0.2,0.2,1.3,/,,,,,solid; extinguishable,,,spreadFire,,,,,,,,,
PS_Light_AR_GL,base,,PS_Light_AR_GL,Tracer,Tracer,,1,,burstStart: Morita_PowerMk1,,,Muzzle_Flash_3,,,,Bullet_Impact_Dust,,Water_Splash_Tiny,,4,#REF!,10,30,,5,10,,,4,0.2,30,10,,max: 5,80,,,0.2,0.2,1.6,/,,,,,solid; extinguishable,,,spreadFire,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turret_HMG,base,,/,Tracer,Tracer,,1.5,,burstStart: HMG,,,Turret_Muzzle_Flash,,,,Bullet_Impact_Dust_Heavy,,Water_Splash_Tiny,,7.5,#REF!,15,35,,5,20,,,4,0.15,40,10,,max: 7; air: 10,104,,,,/,0.6,/,turret,fovweighted,,,solid; extinguishable,,,burstEffect,,attacksToOverheat: 40; cooldownTime: 15,,,,,,,
Turret_Grenade,base,,/,Rifle_Grenade,,,1,,Turret_Grenade,,,Grenade_Launcher,,,,Rifle_Grenade_Explosion,,Water_Splash_Small,,96,#REF!,120,50,20,,100,2,,6,0.3,40,,15,max: 5,35,,,,/,11.5,/,turret,fovweighted,,,solid; extinguishable,,,indirectFire,,,onHit: None,,,,,,
Turret_Rocket,base,,/,Rocket_Blue,,,1,,Missile,,,Grenade_Launcher,,,Rocket_APHE,Rocket_APHE,,Water_Splash_Small,,150,#REF!,150,85,10,,/,2,,/,/,45,,10,max: 1,45,,,,/,6,/,turret,fovweighted,,,solid; extinguishable,armored,,indirectFire,,,onHit: None,,,,,,
Turret_Rocket_Barrage,base,,/,Rocket_Blue,,,1,,Missile,,,Grenade_Launcher,,,Rocket_APHE,Rocket_APHE,,Water_Splash_Small,,150,#REF!,150,80,10,,/,2,,5,0.25,35,,10,max: 5,45,,,,/,5,/,,,,,solid; extinguishable,armored,,indirectFire;noModifierBonus,,,onHit: None,,,,,,
Heavy_Turret_HMG,base,,/,Tracer,Tracer,,1.5,,burstStart: HMG,,,Turret_Muzzle_Flash,,,,Bullet_Impact_Dust_Heavy,,Water_Splash_Tiny,,5,#REF!,10,35,,,20,,,4,0.15,45,10,,max: 7,104,,,,/,0.6,/,turret,fovweighted,,,extinguishable,,,burstEffect,,attacksToOverheat: 40; cooldownTime: 15,,,,,,,
Heavy_Turret_AA,base,,/,Tracer,Tracer,,1.5,,burstStart: HMG,,,Turret_Muzzle_Flash,,,,Bullet_Impact_Dust_Heavy,,Water_Splash_Tiny,,1,#REF!,,35,,8,20,,,4,0.15,30,10,,max: 7,104,,,,/,0.6,/,turret,fovweighted,,,,,,burstEffect,,attacksToOverheat: 40; cooldownTime: 15,,,,,,,
Bunker_MG,base,,/,Tracer,Tracer,,2,,burstStart: HMG,,,Turret_Muzzle_Flash,,,,Bullet_Impact_Dust,,Water_Splash_Tiny,,,,12,25,,,5,,,5,0.13,40,10,,max: 15,104,,,,/,0.65,/,turret,fovweighted,,,solid; extinguishable,,,loopingEffect,,,,,,,,,
Radio_HMG,base,,/,Tracer,Tracer,,2,,burstStart: HMG,,,Turret_Muzzle_Flash,,,,Bullet_Impact_Dust_Heavy,,Water_Splash_Tiny,,,,15,35,,5,/,,,5,0.13,30,10,/,max: 5,104,,,,/,0.65,/,turret,fovweighted,,,solid; extinguishable,,,burstEffect,,attacksToOverheat: 40; cooldownTime: 15,,,,,,,
Electro_Shock,base,,/,/,,,1,,,,,,,,,Electro_Shock,,,,,,5,/,,,70,10,,/,/,5,,,,,,,,/,0.6,/,,,,,solid; extinguishable,,scorching,ignoreArmor;unaimed;friendlyFire;noModifierBonus;detonateOnSource,,attacksToOverheat: 40; cooldownTime: 15,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// M11 MARAUDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11_Gatling,base,,/,Tracer,Tracer,,2,/,burstStart: M11_Minigun,,,Minigun_Muzzle_Flash,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,20,100,20,80,10,,40,,,4,0.2,40,10,/,max: 15,100,,,,/,0.8,/,turret,fovweighted,,,solid; extinguishable,armored,,burstEffect,,,,,,,,,
M11_Howitzer,base,,/,Shell,,,0.09,/,M11_Howitzer,,,Howitzer_Shot,,,,Howitzer_Shell_Explosion,,Water_Splash_Tiny,,200,40,200,70,30,,30,5,,/,/,65,,/,max: 1,50,,,,/,5,/,turret,fovweighted,,,solid; extinguishable,armored,explosive,spreadFire,,,onHit: None,,,,,,
M11_Flamethrower,base,,/,Invisible,,,1,6,burstStart: M11_Flamethrower,,,M11_Flamethrower,,,,/,,/,,36,#REF!,60,40,40,,50,2,,10,0.2,12,6,/,,40,,,,/,1.9,/,turret,fovweighted,,,solid; extinguishable,armored; flammable,scorching,,,,onHit: PassThroughDamage,,,,,,
M11_Flamethrower_Silent,base,,/,Invisible,,,1,6,/,,,M11_Flamethrower,,,,/,,/,,36,#REF!,60,40,40,,50,2,,10,0.2,12,6,/,,40,,,,/,1.9,/,turret,fovweighted,,,solid; extinguishable,armored; flammable,scorching,,,,onHit: PassThroughDamage,,,,,,
M11_MG,base,,/,Tracer,Tracer,,2,,burstStart: FED_CrsHMG,,,M11_Quad_MG,,,,Bullet_Impact_Dust,,Water_Splash_Tiny,,6.4,43,8,50,,,,,,3,0.15,30,20,/,max: 8,120,,,,/,0.45,/,turret,fovweighted,,,solid; extinguishable,,,burstEffect,,,,,,,,,
M11_Mortar,base,,/,Mortar,,,0.075,,M11_Mortar,,,M11_Mortar,,,,M11_Mortar_Explosion,,Water_Splash_Small,,150,#REF!,150,90,,,50,6,,6,0.33,70,,30,max: 2,40,,,1.2,1,9.35,50,soldier Special0,,,,solid; extinguishable,,explosive,friendlyFire;indirectFire;noModifierBonus,,,onHit: None,,,,,0 0; 0 9.6; -9.5 2.3; 9.5 2.3; -5 -8; 5  -8,
M11_Jet_Blast,base,,/,/,,,1,,M11_Jet_Blast,,,,,,,M11_Jet_Blast,,/,,300,#REF!,300,90,,,200,12,,/,/,/,,,,,,,1,2,3,70,soldier special1,,,,solid; extinguishable,,scorching,friendlyFire;unaimed;noModifierBonus;noSelfDamage,,,,,,,,,
M11_Fire_Blast,base,,/,/,,Fire_Large_Unit,1,,M11_Jet_Blast,,,,,,,Fireball_Heavy,,/,,160,#REF!,200,50,,,200,12,,/,/,/,,,,,,,1,2,3,70,soldier special1,,,,solid; extinguishable,,scorching,friendlyFire;unaimed;noModifierBonus;noSelfDamage,,,,,,,,,
M11_AA_Burst,base,,/,Flak_Grenade,,,2,,M11_Mortar,,,M11_Mortar,,,,Flak_Explosion,,Water_Splash_Small,,#VALUE!,#VALUE!,/,120,,80,,14,,6,0.33,35,,/,max: 2,25,,,1.2,1,9.35,30,soldier Special0,,,,solid; extinguishable,,,friendlyFire;indirectFire;noModifierBonus,,,onHit: None,,,,,0 0; 0 9.6; -9.5 2.3; 9.5 2.3; -5 -8; 5  -8,
M11_Shrapnel_Burst,base,,/,Ripper_Tracer,,,1,5,Ripper_Blast,,,Ripper_Flash,,,,,,/,,#VALUE!,#VALUE!,80 120,80,,,50,,,6,0.33,12,4,,,80,,,1,/,2.95,/,,,,,solid; extinguishable,,,indirectFire; noModifierBonus; friendlyFire,,,onHit: PassThroughDamage,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rifle,base,,Morita_MkI,Tracer,Tracer,,1,,Rifle,,,Muzzle_Flash_Single,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,,,10,20,,6,,,,/,/,40,5,,max: 2,91,,,0.3,/,1.3,/,,,,,solid; extinguishable,,,spreadFire,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel_Bomb,base,,/,Barrel_Bomb,,,0.5,,,,,,,,Fireball_Heavy,Fireball_Heavy,,Water_Splash_Small,,200,#REF!,200,60,20,,70,8,,3,/,11,,,,20,,,,/,0,60,,,,,solid; extinguishable,,explosive,unaimed;friendlyFire;noModifierBonus,,,onHit: None,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavebreaker_Volley,base,,/,Shell,,,0.15,,Wavebreaker,,,Howitzer_Shot,,,Fireball,Fireball,,Water_Splash_Small,,300,#REF!,300,80,20,,,2,,2,0.4,60,,15,max: 1,80,,,,2,4.4,30,turret,fovweighted,,,solid; extinguishable,,,,,,onHit: None,,,,,,
Camera,base,,Camera,/,,,2,,,,,,,,,,,,,,,/,/,,,,,,5,0.1,40,,,,,,,0.5,/,0.9,/,,,,,solid; extinguishable,,hidden,indirectFire;stealthFire,,,,,,,,,
Camera_Turret,base,,/,/,,,2,,,,,,,,,,,,,,,/,/,,,,,,5,0.1,40,,,,,,,0.5,/,0.9,/,turret,fovweighted,,,solid; extinguishable,,hidden,indirectFire;stealthFire,,,,,,,,,
TAC_Explosion,base,,/,/,,,,,,,,/,,,Fireball_Heavy,Fireball_Heavy,,,,,,200,20,,,,10,,/,/,/,,,,,,,,/,0,80,,,,,solid; extinguishable,,,friendlyFire;noModifierBonus,,,,,,,,,
Fake_Weapon,base,,/,/,,,,,,,,,,,,,,,,,,/,/,,,,,,/,/,10000,,,,130,,,,/,0,/,,,,,solid; extinguishable,,hidden,indirectFire;stealthFire,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fist,base,,/,/,,,,,,,,Fist,,,,,,/,,1,#REF!,5,20,,,30,,,/,/,/,,/,,,,,,/,1,/,,,,,structure; solid; extinguishable,,,,,,,,,,,,
Rioter_Bat,base,,/,/,,,,,,,,Fist,,,,,,/,,#VALUE!,#VALUE!,30,/,,,30,,,/,/,/,,/,,,,,0.8,1,1.8,/,,,,,structure; solid; extinguishable,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ARACHNID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chariot_Claws,base,,/,/,,,,,ATT_CHARIOT,,,,,,,,,/,,1,#REF!,5,0,0,,,,,/,/,/,,/,,,,,0.2,0.7,0.9,/,,,,,solid; extinguishable,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pupae_Claws,base,,/,/,,,,,Claw,,,,,,,,,/,,1,#REF!,8.5,10,10,,,,,2,0.5,/,,/,,,,,0.5,0.5,1.5,/,,,,,extinguishable; meleeImmune,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrior_Claws,base,,/,/,,,,,Claw,,,,,,,,,/,,12,#REF!,30,30,30,,50,,,/,/,/,,/,,,,,0.75,0.75,1.5,/,,,,,extinguishable; meleeImmune,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger_Claws,base,,/,/,,,,,Claw,,,,,,,,,/,,27,#REF!,45,40,40,,50,,,/,/,/,,,,,,,0.75,0.75,2,/,,,,,extinguishable; meleeImmune,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spitter_Spit,base,,/,Spitter_Spit,Needler_Shot,,,,ATT_SPITTER,,,Spikes_Burst,,,Spit_Impact,Spit_Impact,,Water_Splash_Small,,3,#REF!,5,40,40,20,20,6,,/,/,30,,,max: 1,40,,,2,0.5,3.5,/,,,,,solid; extinguishable,,hidden,spreadFire,,,onHit: DetonateOnTargetOnly,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guard_Claws,base,,/,/,,,,,Claw,,,,,,,,,/,,120,#REF!,120,90,90,,150,2,,/,/,/,,,,,,,0.75,0.75,2.5,/,,,,,extinguishable; meleeImmune,,,,,,,,,,,,
Rage_Claws,base,,/,/,,,,,Claw,,,,,,,,,/,,100,#REF!,100,70,70,,150,2,,/,/,/,,,,,,,0.75,0.75,2.7,/,,,,,extinguishable; meleeImmune,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopper_Claws,base,,/,/,,Hopper_Shock,,,ATT_HOP_SLCE,,,Hopper_Strike,,,,,,/,,,,15,20,20,10,100,,,/,/,/,,/,,,,,,/,1.3,/,,,,,solid; armored; airImmune; extinguishable,,,,,,,,,,,,
Hopper_Shock,base,,/,/,,,,,,,,,,,,,,/,,,,/,/,/,,150,5,,/,/,/,,/,,,,,,/,0,/,,,,,solid; armored; airImmune; extinguishable,,hidden,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenadier_Plasma,base,,/,Plasma_Grenadier,,Grenadier_Plasma_Shock,1,,ATT_GRENDR,,,Plasma_Burst_Small,,,Plasma_Explosion_Small,Plasma_Explosion_Small,,Water_Splash_Large,,20,#REF!,100,20,10,,400,2.5,,/,/,55,,16,min: 1; max: 2,15,,,1.5,1.33,10.5,50,,,,,extinguishable; minion,,,friendlyFire;spreadFire;indirectFire; noBlastReduction,,,onHit: None,,,,,,
Grenadier_Plasma_Shock,base,,/,/,,,1,,,,,,,,,,,/,,80,,100,50,20,,400,0.5,,/,/,/,,/,/,/,,,,/,0,/,,,,,extinguishable,,,noBlastReduction,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion_Plasma,base,,/,Plasma_Scorpion,Plasma_Scorpion,Scorpion_Plasma_Shock,1,3,burstStart: ATT_SCPN_PLAS,,,Plasma_Scorpion_Shot,,,Plasma_Scorpion_Explosion,Plasma_Scorpion_Explosion,,Water_Splash_Small,,200,#REF!,40,100,100,15,,0.3,,5,0.13,35,,,max: 1,100,,,1.5,2,9.02,/,,,,,extinguishable; minion,,,burstEffect,Scorpion,,,,,,,,
Scorpion_Plasma_Shock,base,,/,/,,,1,,,,,,,,,,,/,,5,,5,0,0,,,3,,/,/,/,,/,/,/,,,,/,0,/,,,,,extinguishable,,,noBlastReduction,,,,,,,,,
Scorpion_Turret_Plasma,base,,/,Plasma_Scorpion,Plasma_Scorpion,,1,,,,,Plasma_Scorpion_Shot,,,Plasma_Scorpion_Explosion,Plasma_Scorpion_Explosion,,Water_Splash_Small,,200,#REF!,40,100,100,15,,0.3,,5,0.13,35,,,max: 1,100,,,1.5,2,9.02,/,turret,fovweighted,,,extinguishable,,,burstEffect,Scorpion,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanker_Acid,base,,/,Invisible_Shell,,Tanker_Acid_Pool,,,,,Tanker_Spark ,Tanker_Acid,,,,Tanker_Acid_Impact,,/,,35,#REF!,35,80,80,,40,3,,/,/,18,,/,,40,,,1.9,3,6.4,/,,,,,extinguishable; minion,,acid,,AlwaysTargetGround,,onHit: PassThroughDamage,,,,,,
Tanker_Acid_Burn,base,,/,/,,,1,,,,,,,,,,,/,,4,#REF!,20,20,20,,20,3,,30,0.5,/,,,,,,,,/,15,/,,,,,solid; extinguishable; acidImmune,,acid,friendlyFire;unaimed;noModifierBonus,,,,,,,,,
Tanker_Roar,base,,/,/,,Tanker_Roar_Shock,1,,burstStart: ATT_TANK_ROAR,,,,,,,Grenade_Explosion_Concussive,,/,,,,40,/,/,/,/,5,,10,0.2,/,,,,,,,0.5,0.5,4,60,soldier special0,,,,extinguishable,,hidden,burstEffect;forceStun; noBlastReduction; unaimed,,,,,,,,,
Tanker_Roar_Shock,base,,/,/,,,1,,,,,,,,,,,/,,,,0,/,/,/,200,15,,/,/,/,,,,,,,,/,1,/,soldier special0,,,,extinguishable,,hidden,burstEffect;forceStun,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma,base,,/,Plasma,,,5,,ATT_PLAS_LAUNCH,,,Plasma_Burst_Large,,,Plasma_Explosion_Large,Plasma_Explosion_Large,,Water_Splash_Large,,350,#REF!,350,70,70,,,10,,/,/,150,,100,,15,,,4,2,43,80,,,,,extinguishable; immuneToPlasmaBug,,,friendlyFire;indirectFire;hasAbilityDestinationMarker;rearAttack,,,,,,,,,
Plasma_Bug_Explosion,base,,/,/,,,,,,,,,,,,Plasma_Bug_Explosion,,/,,,,1000,200,200,,300,20,,/,/,/,,,/,/,,,,/,0,80,,,,,extinguishable; immuneToPlasmaBug,,,friendlyFire,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombardier_Launch,base,,/,Bombardier,,Bombardier_Blast,1.2,/,,,,Bombardier_Launch,,Bombardier_Sparks,,Grenade_Explosion_Concussive,,Water_Splash_Small,,80,#REF!,80,80,60,,/,1,1,,,15,,10,min: 1; max: 3,25,,,,/,8,20,,,,,extinguishable; meleeImmune,,,indirectFire; unaimed; onFireRemoveSoldier,,,onHit: None,,,,,,
Bombardier_Blast,base,,/,/,,/,1,/,,,,,,,,,,,,12,#REF!,30,30,40,,100,3,,/,/,20,,/,/,/,,,,/,,,,,,,extinguishable; meleeImmune,,,,,,onHit: None,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// SPECIAL/COSMETIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klendathu_Nuke,base,,/,Rocket,,,1,,Missile,,,,,,Tactical_Nuke,Tactical_Nuke,,Water_Splash_Large,,,,2000,100,100,,100,16,,/,/,60,,/,,13,,,,/,1,150,,,,,,,scorching,friendlyFire;indirectFire;forceStun;noModifierBonus,,,,,,,,,
Homing_Plasma,base,,/,Small_Plasma_Cosmetic,,,1,,,,,Plasma_Burst_Small,,,Plasma_Explosion_Small,Plasma_Explosion_Small,,Water_Splash_Large,,,,100,,,,,4,,,,500,,/,,25,,,1.5,/,2.5,30,,,,,,,,friendlyFire;spreadFire;indirectFire;noModifierBonus,,,,,,,,,
Plasma_Orbital,base,,/,Plasma_Orbital,,,5,,ATT_PLAS_LAUNCH,,,Plasma_Burst_Large,,,Plasma_Explosion_Large,Plasma_Explosion_Large,,Water_Splash_Large,,,,,,,,,,,/,/,2000,,/,,19.5,,,4,2,6,/,,,,,extinguishable,,,friendlyFire;indirectFire;noModifierBonus;rearAttack,,,,,,,,,
Plasma_Long,base,,/,Plasma,,,5,,ATT_PLAS_LAUNCH,,,Plasma_Burst_Large,,,Plasma_Explosion_Large,Plasma_Explosion_Large,,Water_Splash_Large,,350,#REF!,500,,70,,,12,,/,/,2000,,/,,19.5,,,4,2,6,80,,,,,extinguishable; immuneToPlasmaBug,,,friendlyFire;indirectFire;hasAbilityDestinationMarker;rearAttack,,,,,,,,,
Proximity_Alarm,base,,/,/,,,,,Alarm,,,,,,,,,,,,,/,/,,,,,,/,/,40,,,,/,,,,/,1,/,,,,,structure; solid; extinguishable,,hidden,indirectFire;unaimed;stealthFire,,,,,,,,,
TAC_Bomb,base,,/,Barrel_Bomb,,,0.5,,,,,,,,Fireball_Heavy,Fireball_Heavy,,Water_Splash_Small,,200,#REF!,200,60,40,,70,8,,4,/,11,,,,10,,,,/,0,60,,,,,structure; solid; extinguishable,,scorching,unaimed;friendlyFire;noModifierBonus,,,onHit: None,,,,,,
Explosive_Barrel,base,,/,/,,,,,,,,/,,,Barrel_Explosion,Barrel_Explosion,,,,,,150,40,40,,,6,,/,/,/,,,,,,,,/,0,40,,,,,solid; extinguishable,,scorching,friendlyFire;noModifierBonus,,,,,,,,,
Power_Core_Explosion,base,,/,/,,Fire_Large_Unit,1,,,,,,,,,Power_Core_Explosion,,,,,,2000,100,100,,500,30,,/,/,/,,,,,,,,/,0,80,,,,,,,acid,friendlyFire;indirectFire;forceStun;noModifierBonus;unaimed,,,,,,,,,
Nuke_Device_Explosion,base,,/,/,,,1,,,,,,,,Tactical_Nuke,Tactical_Nuke,,/,,,,2000,100,100,,500,30,,/,/,/,,/,,13,,,,/,1,150,,,,,solid; extinguishable,,acid,friendlyFire;indirectFire;forceStun;noModifierBonus;unaimed,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Internal usage - Internal damage types are used by gameplay system to trigger special kinds of non-soldier damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal_Trigger,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,onTakeDamageSound: false
Internal_Selfdestruct,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,onTakeDamageSound: false
Internal_Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal_Cheats,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal_Tests,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal_Lifetime,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Morita_MkI,base,,Morita_MkI,Tracer,,,1,/,burstStart: Morita_MkI,,,Muzzle_Flash_4,,,,Bullet_Impact_Dust,Bullet_Impact_Hard,Water_Splash_Tiny,,1,#REF!,6,5,,,4,,,2,0.3,40,20,,,78,,,,/,1.6,/,,,,,solid; extinguishable,,,burstEffect;spreadFire,,,,,,,,,
Test_Overheat_MG,base,,/,Tracer,Tracer,,1.5,,burstStart: HMG,,,,,,,Bullet_Impact_Dust_Heavy,,Water_Splash_Tiny,,7.5,#REF!,15,35,,5,20,,,4,0.15,40,50,,max: 7,104,,,,/,0.6,/,turret,fovweighted,,,solid; extinguishable,,,burstEffect,,attacksToOverheat: 30; cooldownTime: 10,,,,,,,
Test_Spitter_Spit_Constant,base,,/,Spitter_Spit,Needler_Shot,,,,ATT_SPITTER,,,Spikes_Burst,,,Spit_Impact,Spit_Impact,,Water_Splash_Small,,3,#REF!,5,40,40,20,20,6,,/,/,30,,,max: 1,40,,,2,0,2,/,,,,,solid; extinguishable,,hidden,spreadFire,,,onHit: DetonateOnTargetOnly,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// LAVA DLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volcano_Meteor,lava,,/,Volcano_Meteor,,Fire_Small_Unit,1,,,,,/,,,,Volcano_Meteor_Explosion,,Water_Splash_Small,,60,#REF!,150,30,,,50,5,,6,0.33,70,,30,max: 12,15,,,1.2,1,9.35,40,,,,,solid; extinguishable,,scorching,friendlyFire;indirectFire;noModifierBonus,,,onHit: None,,,,,,
